model_name,ssb,rec_actual
base-model,27035.6,5392.7
base-model,27518.4,5420.22
base-model,28001.2,5447.05
base-model,28484,5473.23
base-model,28966.8,5498.77
base-model,29449.5,5523.7
base-model,29932.3,5548.05
base-model,30415.1,5571.83
base-model,30897.9,5595.06
base-model,31380.7,5617.76
base-model,31863.4,5639.95
base-model,32346.2,5661.65
base-model,32829,5682.87
base-model,33311.8,5703.62
base-model,33794.5,5723.93
base-model,34277.3,5743.81
base-model,34760.1,5763.26
base-model,35242.9,5782.31
base-model,35725.7,5800.97
base-model,36208.4,5819.24
base-model,36691.2,5837.15
base-model,37174,5854.69
base-model,37656.8,5871.89
base-model,38139.6,5888.75
base-model,38622.3,5905.29
base-model,39105.1,5921.5
base-model,39587.9,5937.4
base-model,40070.7,5953.01
base-model,40553.5,5968.32
base-model,41036.2,5983.35
base-model,41519,5998.1
base-model,42001.8,6012.58
base-model,42484.6,6026.8
base-model,42967.4,6040.77
base-model,43450.1,6054.49
base-model,43932.9,6067.96
base-model,44415.7,6081.21
base-model,44898.5,6094.22
base-model,45381.2,6107.01
base-model,45864,6119.59
base-model,46346.8,6131.95
base-model,46829.6,6144.11
base-model,47312.4,6156.06
base-model,47795.1,6167.82
base-model,48277.9,6179.39
base-model,48760.7,6190.77
base-model,49243.5,6201.96
base-model,49726.3,6212.98
base-model,50209,6223.83
base-model,50691.8,6234.51
base-model,51174.6,6245.02
base-model,51657.4,6255.37
base-model,52140.2,6265.56
base-model,52622.9,6275.59
base-model,53105.7,6285.48
base-model,53588.5,6295.21
base-model,54071.3,6304.81
base-model,54554.1,6314.26
base-model,55036.8,6323.57
base-model,55519.6,6332.75
base-model,56002.4,6341.79
base-model,56485.2,6350.71
base-model,56968,6359.5
base-model,57450.7,6368.16
base-model,57933.5,6376.71
nat_M,377.721,1091.79
nat_M,755.442,2095.25
nat_M,1133.16,3020.92
nat_M,1510.88,3877.52
nat_M,1888.6,4672.49
nat_M,2266.33,5412.25
nat_M,2644.05,6102.36
nat_M,3021.77,6747.66
nat_M,3399.49,7352.38
nat_M,3777.21,7920.22
nat_M,4154.93,8454.46
nat_M,4532.65,8958
nat_M,4910.37,9433.41
nat_M,5288.09,9882.98
nat_M,5665.81,10308.8
nat_M,6043.53,10712.6
nat_M,6421.26,11096.1
nat_M,6798.98,11460.9
nat_M,7176.7,11808.2
nat_M,7554.42,12139.2
nat_M,7932.14,12455.2
nat_M,8309.86,12757
nat_M,8687.58,13045.7
nat_M,9065.3,13322
nat_M,9443.02,13586.8
nat_M,9820.74,13840.7
nat_M,10198.5,14084.4
nat_M,10576.2,14318.5
nat_M,10953.9,14543.6
nat_M,11331.6,14760.1
nat_M,11709.3,14968.6
nat_M,12087.1,15169.5
nat_M,12464.8,15363.2
nat_M,12842.5,15550.1
nat_M,13220.2,15730.5
nat_M,13598,15904.8
nat_M,13975.7,16073.2
nat_M,14353.4,16236.1
nat_M,14731.1,16393.7
nat_M,15108.8,16546.3
nat_M,15486.6,16694.2
nat_M,15864.3,16837.4
nat_M,16242,16976.3
nat_M,16619.7,17111.1
nat_M,16997.4,17241.9
nat_M,17375.2,17368.8
nat_M,17752.9,17492.2
nat_M,18130.6,17612
nat_M,18508.3,17728.5
nat_M,18886,17841.8
nat_M,19263.8,17952.1
nat_M,19641.5,18059.4
nat_M,20019.2,18163.8
nat_M,20396.9,18265.6
nat_M,20774.6,18364.7
nat_M,21152.4,18461.3
nat_M,21530.1,18555.5
nat_M,21907.8,18647.4
nat_M,22285.5,18737
nat_M,22663.3,18824.4
nat_M,23041,18909.8
nat_M,23418.7,18993.1
nat_M,23796.4,19074.5
nat_M,24174.1,19154.1
nat_M,24551.9,19231.8
nat_M,24929.6,19307.7
nat_M,25307.3,19382
nat_M,25685,19454.6
nat_M,26062.7,19525.7
nat_M,26440.5,19595.2
nat_M,26818.2,19663.3
nat_M,27195.9,19729.9
nat_M,27573.6,19795.1
nat_M,27951.3,19859
nat_M,28329.1,19921.5
nat_M,28706.8,19982.8
nat_M,29084.5,20042.9
nat_M,29462.2,20101.8
nat_M,29840,20159.5
nat_M,30217.7,20216.1
nat_M,30595.4,20271.6
nat_M,30973.1,20326
nat_M,31350.8,20379.4
nat_M,31728.6,20431.9
nat_M,32106.3,20483.3
nat_M,32484,20533.8
nat_M,32861.7,20583.4
nat_M,33239.4,20632.1
nat_M,33617.2,20679.9
nat_M,33994.9,20726.8
nat_M,34372.6,20773
nat_M,34750.3,20818.3
nat_M,35128,20862.9
nat_M,35505.8,20906.7
nat_M,35883.5,20949.7
nat_M,36261.2,20992
nat_M,36638.9,21033.6
nat_M,37016.6,21074.6
nat_M,37394.4,21114.8
nat_M,37772.1,21154.4
nat_M,38149.8,21193.4
nat_M,38527.5,21231.7
nat_M,38905.3,21269.4
nat_M,39283,21306.6
nat_M,39660.7,21343.1
nat_M,40038.4,21379.1
nat_M,40416.1,21414.5
nat_M,40793.9,21449.4
nat_M,41171.6,21483.8
nat_M,41549.3,21517.6
nat_M,41927,21550.9
nat_M,42304.7,21583.8
nat_M,42682.5,21616.1
nat_M,43060.2,21648
nat_M,43437.9,21679.4
nat_M,43815.6,21710.4
nat_M,44193.3,21740.9
nat_M,44571.1,21771
nat_M,44948.8,21800.7
nat_M,45326.5,21829.9
steepness-0.5,487.667,242.454
steepness-0.5,975.334,471.136
steepness-0.5,1463,687.229
steepness-0.5,1950.67,891.747
steepness-0.5,2438.33,1085.59
steepness-0.5,2926,1269.58
steepness-0.5,3413.67,1444.45
steepness-0.5,3901.33,1610.86
steepness-0.5,4389,1769.4
steepness-0.5,4876.67,1920.63
steepness-0.5,5364.34,2065.03
steepness-0.5,5852,2203.07
steepness-0.5,6339.67,2335.14
steepness-0.5,6827.34,2461.64
steepness-0.5,7315,2582.9
steepness-0.5,7802.67,2699.24
steepness-0.5,8290.34,2810.96
steepness-0.5,8778,2918.33
steepness-0.5,9265.67,3021.6
steepness-0.5,9753.34,3120.99
steepness-0.5,10241,3216.73
steepness-0.5,10728.7,3309
steepness-0.5,11216.3,3398
steepness-0.5,11704,3483.89
steepness-0.5,12191.7,3566.84
steepness-0.5,12679.3,3646.99
steepness-0.5,13167,3724.49
steepness-0.5,13654.7,3799.46
steepness-0.5,14142.3,3872.02
steepness-0.5,14630,3942.29
steepness-0.5,15117.7,4010.38
steepness-0.5,15605.3,4076.38
steepness-0.5,16093,4140.4
steepness-0.5,16580.7,4202.51
steepness-0.5,17068.3,4262.8
steepness-0.5,17556,4321.36
steepness-0.5,18043.7,4378.25
steepness-0.5,18531.3,4433.54
steepness-0.5,19019,4487.31
steepness-0.5,19506.7,4539.61
steepness-0.5,19994.3,4590.5
steepness-0.5,20482,4640.04
steepness-0.5,20969.7,4688.28
steepness-0.5,21457.3,4735.28
steepness-0.5,21945,4781.07
steepness-0.5,22432.7,4825.71
steepness-0.5,22920.3,4869.24
steepness-0.5,23408,4911.7
steepness-0.5,23895.7,4953.13
steepness-0.5,24383.3,4993.56
steepness-0.5,24871,5033.04
steepness-0.5,25358.7,5071.59
steepness-0.5,25846.3,5109.24
steepness-0.5,26334,5146.04
steepness-0.5,26821.7,5182
steepness-0.5,27309.3,5217.15
steepness-0.5,27797,5251.53
steepness-0.5,28284.7,5285.16
steepness-0.5,28772.3,5318.05
steepness-0.5,29260,5350.24
steepness-0.5,29747.7,5381.75
steepness-0.5,30235.3,5412.6
steepness-0.5,30723,5442.81
steepness-0.5,31210.7,5472.39
steepness-0.5,31698.3,5501.38
steepness-0.5,32186,5529.78
steepness-0.5,32673.7,5557.62
steepness-0.5,33161.3,5584.9
steepness-0.5,33649,5611.65
steepness-0.5,34136.7,5637.89
steepness-0.5,34624.3,5663.62
steepness-0.5,35112,5688.86
steepness-0.5,35599.7,5713.63
steepness-0.5,36087.3,5737.94
steepness-0.5,36575,5761.8
steepness-0.5,37062.7,5785.22
steepness-0.5,37550.3,5808.22
steepness-0.5,38038,5830.8
steepness-0.5,38525.7,5852.98
steepness-0.5,39013.3,5874.77
steepness-0.5,39501,5896.18
steepness-0.5,39988.7,5917.22
steepness-0.5,40476.3,5937.9
steepness-0.5,40964,5958.22
steepness-0.5,41451.7,5978.2
steepness-0.5,41939.3,5997.85
steepness-0.5,42427,6017.17
steepness-0.5,42914.7,6036.17
steepness-0.5,43402.3,6054.86
steepness-0.5,43890,6073.25
steepness-0.5,44377.7,6091.34
steepness-0.5,44865.3,6109.14
steepness-0.5,45353,6126.66
steepness-0.5,45840.7,6143.91
steepness-0.5,46328.3,6160.88
steepness-0.5,46816,6177.6
steepness-0.5,47303.7,6194.05
steepness-0.5,47791.3,6210.26
steepness-0.5,48279,6226.22
steepness-0.5,48766.7,6241.95
steepness-0.5,49254.3,6257.43
steepness-0.5,49742,6272.69
steepness-0.5,50229.7,6287.73
steepness-0.5,50717.3,6302.55
steepness-0.5,51205,6317.15
steepness-0.5,51692.7,6331.54
steepness-0.5,52180.3,6345.73
steepness-0.5,52668,6359.72
